,name,salary,position,birthday,shoot
400,Nick Young,1491240.0,Shooting Guard,1985-06-01,Right
401,Sean Williams,1416600.0,Center and Power Forward,1986-09-13,Right
402,Javaris Crittenton,1285200.0,Shooting Guard and Point Guard,1987-12-31,Right
403,Jason Smith,1233840.0,Center and Power Forward,1986-03-02,Right
404,Daequan Cook,1184400.0,Shooting Guard and Small Forward,1987-04-28,Right
405,Jared Dudley,1137000.0,Small Forward and Power Forward and Shooting Guard,1985-07-10,Right
406,Wilson Chandler,1091640.0,Small Forward and Power Forward and Shooting Guard,1987-05-10,Right
407,Morris Almond,1005960.0,Shooting Guard,1985-02-02,Right
408,Aaron Brooks,972720.0,Point Guard,1985-01-14,Right
409,Arron Afflalo,944520.0,Shooting Guard and Small Forward,1985-10-15,Right
410,Alando Tucker,931920.0,Small Forward and Shooting Guard,1984-02-11,Right
411,Carl Landry,427163.0,Power Forward,1983-09-19,Right
412,Gabe Pruitt,650000.0,Point Guard and Shooting Guard,1986-04-19,Right
413,Nick Fazekas,427163.0,Power Forward,1985-06-17,Right
414,Glen Davis,427163.0,Power Forward and Center,1986-01-01,Right
415,Jermareo Davidson,427163.0,Small Forward,1984-11-15,Right
416,Josh McRoberts,427163.0,Power Forward and Center,1987-02-28,Left
417,Chris Richard,427163.0,Power Forward and Center,1984-12-25,Right
418,Derrick Byars,,Power Forward,1984-04-25,Right
419,Stephane Lasme,48056.0,Small Forward and Power Forward,1982-12-17,Right
420,Dominic McGuire,427163.0,Small Forward and Power Forward and Shooting Guard,1985-10-20,Right
421,Aaron Gray,427163.0,Center,1984-12-07,Right
422,JamesOn Curry,427163.0,Point Guard,1986-01-07,Right
423,Taurean Green,427163.0,Shooting Guard and Point Guard,1986-11-28,Right
424,Demetris Nichols,427163.0,Small Forward,1984-09-04,Right
425,Ramon Sessions,427163.0,Point Guard and Shooting Guard,1986-04-11,Right
426,D.J. Strawberry,427163.0,Shooting Guard,1985-06-15,Right
427,Derrick Rose,4822800.0,Point Guard,1988-10-04,Right
428,Michael Beasley,4314960.0,Small Forward and Power Forward,1989-01-09,Left
429,O.J. Mayo,3875040.0,Shooting Guard,1987-11-05,Right
430,Russell Westbrook,3493680.0,Point Guard,1988-11-12,Right
431,Kevin Love,3163680.0,Power Forward and Center,1988-09-07,Right
432,Eric Gordon,2623200.0,Shooting Guard and Point Guard,1988-12-25,Right
433,Joe Alexander,2403120.0,Small Forward,1986-12-26,Right
434,D.J. Augustin,2208960.0,Point Guard,1987-11-10,Right
435,Brook Lopez,2098560.0,Center,1988-04-01,Right
436,Jerryd Bayless,1993560.0,Point Guard and Shooting Guard,1988-08-20,Right
437,Jason Thompson,1893840.0,Power Forward and Center,1986-07-21,Right
438,Brandon Rush,1799160.0,Shooting Guard and Small Forward,1985-07-07,Right
439,Anthony Randolph,1709280.0,Power Forward and Center,1989-07-15,Left
440,Robin Lopez,1623720.0,Center,1988-04-01,Right
441,Marreese Speights,1542600.0,Center and Power Forward,1987-08-04,Right
442,Roy Hibbert,1465400.0,Center,1986-12-11,Right
443,JaVale McGee,1392240.0,Center,1988-01-19,Right
444,J.J. Hickson,1329480.0,Center and Power Forward,1988-09-04,Right
445,Ryan Anderson,1225200.0,Power Forward,1988-05-06,Right
446,Courtney Lee,1176240.0,Shooting Guard,1985-10-03,Right
447,Kosta Koufos,1129320.0,Center,1989-02-24,Right
448,George Hill,1006200.0,Point Guard,1986-05-04,Right
449,Darrell Arthur,977160.0,Power Forward and Small Forward,1988-03-25,Right
450,Donte Greene,971160.0,Small Forward and Power Forward,1988-02-21,Right
451,D.J. White,964080.0,Power Forward and Center,1986-08-31,Right
452,J.R. Giddens,957120.0,Small Forward,1985-02-13,Right
453,Walter Sharpe,442114.0,Power Forward,1986-07-18,Right
454,Joey Dorsey,816500.0,Power Forward and Center,1983-12-16,Right
455,Mario Chalmers,700000.0,Point Guard,1986-05-19,Right
456,DeAndre Jordan,550000.0,Center,1988-07-21,Left
457,Luc Mbah a Moute,757000.0,Power Forward and Small Forward,1986-09-09,Right
458,Kyle Weaver,806452.0,Shooting Guard,1986-02-18,Right
459,Sonny Weems,442114.0,Shooting Guard and Small Forward,1986-07-08,Right
460,Chris Douglas-Roberts,442411.0,Small Forward and Shooting Guard,1987-01-08,Right
461,Sean Singletary,442114.0,Point Guard,1985-09-06,Right
462,Patrick Ewing,,Small Forward,1984-05-20,Right
463,Henry Walker,542114.0,Shooting Guard and Small Forward,1987-10-09,Right
464,Malik Hairston,351091.0,Shooting Guard,1987-02-23,Right
465,DeVon Hardin,,Center,1986-08-07,Right
466,Darnell Jackson,450000.0,Power Forward,1985-11-07,Right
467,Maarty Leunen,,Forward,1985-09-03,Right
468,Mike Taylor,500000.0,Point Guard,1986-01-21,Right
469,Sasha Kaun,1300000.0,Center,1985-05-08,Right
470,Joe Crawford,,Small Forward,1986-06-17,Right
471,Blake Griffin,4983480.0,Power Forward,1989-03-16,Right
472,Hasheem Thabeet,4458840.0,Center,1987-02-16,Right
473,James Harden,4054160.0,Shooting Guard and Point Guard,1989-08-26,Left
474,Tyreke Evans,3610080.0,Shooting Guard and Small Forward,1989-09-19,Right
475,Jonny Flynn,2969280.0,Point Guard,1989-02-06,Right
476,Stephen Curry,2710560.0,Point Guard,1988-03-14,Right
477,Jordan Hill,2483280.0,Center and Power Forward,1987-07-27,Right
478,DeMar DeRozan,2282640.0,Shooting Guard,1989-08-07,Right
479,Terrence Williams,2060040.0,Shooting Guard and Small Forward,1987-06-28,Right
480,Gerald Henderson,1957080.0,Shooting Guard,1987-12-09,Right
481,Tyler Hansbrough,1859160.0,Power Forward,1985-11-03,Right
482,Earl Clark,1766280.0,Power Forward and Small Forward,1988-01-17,Right
483,Austin Daye,1677840.0,Small Forward,1988-06-05,Right
484,James Johnson,1594080.0,Small Forward and Power Forward,1987-02-20,Right
485,Jrue Holiday,1514280.0,Point Guard,1990-06-12,Right
486,Ty Lawson,1438690.0,Point Guard,1987-11-03,Right
487,Jeff Teague,1373880.0,Point Guard,1988-06-10,Right
488,Eric Maynor,1318920.0,Point Guard and Shooting Guard,1987-06-11,Right
489,Darren Collison,1266120.0,Point Guard,1987-08-23,Right
490,Byron Mullens,1120200.0,Center and Power Forward,1989-02-14,Right
491,Taj Gibson,1039800.0,Power Forward,1985-06-24,Right
492,DeMarre Carroll,1009680.0,Small Forward and Power Forward,1986-07-27,Right
493,Wayne Ellington,1003560.0,Shooting Guard,1987-10-29,Right
494,Toney Douglas,996240.0,Point Guard and Shooting Guard,1986-03-16,Right
495,Jeff Ayres,457588.0,Power Forward and Center,1987-04-29,Right
496,Jermaine Taylor,725000.0,Shooting Guard,1986-12-08,Right
497,Dante Cunningham,457588.0,Power Forward and Small Forward,1987-04-22,Right
498,DaJuan Summers,457588.0,Small Forward and Power Forward,1988-01-24,Right
499,Sam Young,824200.0,Small Forward and Shooting Guard,1985-06-01,Right
500,DeJuan Blair,850000.0,Power Forward and Center,1989-04-22,Right
501,Jon Brockman,457588.0,Power Forward and Center,1987-03-20,Right
502,Derrick Brown,457588.0,Small Forward,1987-09-08,Left
503,Jodie Meeks,650000.0,Shooting Guard,1987-08-21,Right
504,Patrick Beverley,281377.0,Point Guard and Shooting Guard,1988-07-12,Right
505,Marcus Thornton,457888.0,Shooting Guard,1987-06-05,Right
506,Chase Budinger,457588.0,Small Forward,1988-05-22,Right
507,Nick Calathes,816482.0,Shooting Guard,1989-02-07,Right
508,Danny Green,457588.0,Shooting Guard,1987-06-22,Right
509,Taylor Griffin,457588.0,Small Forward,1986-04-18,Right
510,A.J. Price,457588.0,Point Guard and Shooting Guard,1986-10-07,Right
511,Patty Mills,457588.0,Point Guard,1988-08-11,Right
512,Lester Hudson,199185.0,Point Guard and Shooting Guard,1984-08-07,Right
513,Chinemelu Elonu,,Center/Forward,1987-03-11,Right
514,John Wall,5144280.0,Point Guard,1990-09-06,Right
515,Evan Turner,4602720.0,Small Forward and Shooting Guard,1988-10-27,Right
516,Derrick Favors,4133280.0,Power Forward,1991-07-15,Right
517,Wesley Johnson,3726600.0,Small Forward and Shooting Guard,1987-07-11,Right
518,DeMarcus Cousins,3374640.0,Center,1990-08-13,Right
519,Ekpe Udoh,3065040.0,Center and Power Forward,1987-05-20,Right
520,Greg Monroe,2798040.0,Center and Power Forward,1990-06-04,Left
521,Al-Farouq Aminu,2563320.0,Small Forward,1990-09-21,Right
522,Gordon Hayward,2356320.0,Small Forward,1990-03-23,Right
523,Paul George,2238360.0,Small Forward and Shooting Guard,1990-05-02,Right
524,Cole Aldrich,2126520.0,Center,1988-10-31,Right
525,Xavier Henry,2020200.0,Small Forward and Shooting Guard,1991-03-15,Left
526,Ed Davis,1919160.0,Power Forward and Center,1989-06-05,Left
527,Patrick Patterson,1823280.0,Power Forward,1989-03-14,Right
528,Larry Sanders,1731960.0,Center and Power Forward,1988-11-21,Right
529,Luke Babbitt,1645440.0,Small Forward and Power Forward,1989-06-20,Right
530,Eric Bledsoe,1485000.0,Point Guard,1989-12-09,Right
531,Avery Bradley,1418160.0,Point Guard and Shooting Guard,1990-11-26,Right
532,James Anderson,1361400.0,Shooting Guard and Small Forward,1989-03-25,Right
533,Craig Brackins,1306920.0,Power Forward,1987-10-09,Right
534,Elliot Williams,1254720.0,Shooting Guard and Point Guard,1989-06-20,Left
535,Trevor Booker,1204560.0,Power Forward,1987-11-25,Left
536,Damion James,1156320.0,Small Forward,1987-10-07,Right
537,Dominique Jones,1110120.0,Shooting Guard and Point Guard,1988-10-15,Right
538,Quincy Pondexter,1073280.0,Small Forward and Shooting Guard,1988-03-10,Right
539,Jordan Crawford,1042320.0,Shooting Guard,1988-10-23,Right
540,Greivis Vasquez,1035960.0,Point Guard and Shooting Guard,1987-01-16,Right
541,Daniel Orton,1028400.0,Center and Power Forward,1990-08-06,Right
542,Lazar Hayward,1020960.0,Small Forward,1986-11-26,Right
543,Dexter Pittman,473604.0,Center,1988-03-02,Right
544,Hassan Whiteside,730437.0,Center,1989-06-13,Right
545,Armon Johnson,473604.0,Point Guard,1989-02-23,Left
546,Darington Hobson,103078.0,Shooting Guard,1987-09-29,Left
547,Andy Rautins,600000.0,Shooting Guard,1986-11-02,Right
548,Landry Fields,473604.0,Small Forward and Shooting Guard,1988-06-27,Right
549,Lance Stephenson,750000.0,Shooting Guard and Small Forward,1990-09-05,Right
550,Jarvis Varnado,275805.0,Power Forward,1988-03-01,Right
551,Devin Ebanks,473604.0,Shooting Guard and Small Forward,1989-10-28,Right
552,Jerome Jordan,473604.0,Center,1986-09-29,Right
553,Gani Lawal,473640.0,Power Forward,1988-11-07,Right
554,Solomon Alabi,770000.0,Center,1988-03-21,Right
555,Luke Harangody,473604.0,Power Forward,1988-01-02,Right
556,Willie Warren,500000.0,Point Guard,1989-10-22,Right
557,Jeremy Evans,473604.0,Small Forward and Power Forward,1987-10-24,Right
558,Hamady N'Diaye,473604.0,Center,1987-01-12,Right
559,Ryan Reid,475000.0,Power Forward,1986-10-30,Right
560,Derrick Caracter,473604.0,Center,1988-05-04,Right
561,Dwayne Collins,,Forward,1988-04-13,Right
562,Kyrie Irving,5144280.0,Point Guard,1992-03-23,Right
563,Derrick Williams,4602720.0,Power Forward and Small Forward,1991-05-25,Right
564,Tristan Thompson,3726600.0,Power Forward and Center,1991-03-13,
565,Brandon Knight,2563320.0,Point Guard and Shooting Guard,1991-12-02,Right
566,Kemba Walker,2356320.0,Point Guard,1990-05-08,Right
567,Jimmer Fredette,2238360.0,Shooting Guard and Point Guard,1989-02-25,Right
568,Klay Thompson,2126520.0,Shooting Guard,1990-02-08,Right
569,Alec Burks,2020200.0,Shooting Guard,1991-07-20,Right
570,Markieff Morris,1919160.0,Power Forward,1989-09-02,Right
571,Marcus Morris,1823280.0,Small Forward and Power Forward,1989-09-02,Right
572,Kawhi Leonard,1731960.0,Small Forward,1991-06-29,Right
573,Nikola Vucevic,1645400.0,Center,1990-10-24,Right
574,Iman Shumpert,1563120.0,Shooting Guard and Point Guard,1990-06-26,Right
575,Chris Singleton,1485000.0,Small Forward and Power Forward,1989-11-21,Right
576,Tobias Harris,1418160.0,Power Forward and Small Forward,1992-07-15,Right
577,Nolan Smith,1306920.0,Point Guard,1988-07-25,Right
578,Kenneth Faried,1254720.0,Power Forward,1989-11-19,Right
579,Reggie Jackson,1156320.0,Point Guard,1990-04-16,Right
580,MarShon Brooks,1110120.0,Shooting Guard,1989-01-26,Right
581,Jordan Hamilton,1073286.0,Small Forward,1990-10-06,Right
582,JaJuan Johnson,1042320.0,Power Forward,1989-02-08,Right
583,Norris Cole,1035960.0,Point Guard,1988-10-13,Right
584,Cory Joseph,1028400.0,Shooting Guard and Point Guard,1991-08-20,Right
585,Jimmy Butler,1020960.0,Shooting Guard and Small Forward,1989-09-14,Right
586,Justin Harper,473604.0,Power Forward,1989-08-30,Right
587,Kyle Singler,1000000.0,Small Forward,1988-05-04,Right
588,Shelvin Mack,473604.0,Point Guard and Shooting Guard,1990-04-22,Right
589,Tyler Honeycutt,775000.0,Small Forward,1990-07-15,Right
590,Jordan Williams,473604.0,Center,1990-10-11,Right
591,Trey Thompkins,473604.0,Center,1990-05-20,Right
592,Chandler Parsons,850000.0,Small Forward,1988-10-25,Right
593,Jon Leuer,473604.0,Power Forward and Center,1989-05-14,Right
594,Darius Morris,473604.0,Point Guard,1991-01-03,Right
595,Malcolm Lee,500000.0,Shooting Guard,1990-05-22,Right
596,Charles Jenkins,473604.0,Point Guard and Shooting Guard,1989-02-28,Right
597,Josh Harrellson,473604.0,Center and Power Forward,1989-02-12,Right
598,Andrew Goudelock,473604.0,Shooting Guard and Point Guard,1988-12-07,Right
599,Travis Leslie,473604.0,Shooting Guard,1990-03-29,Right
600,Keith Benson,,Center,1988-08-13,Right
601,Josh Selby,550000.0,Point Guard,1991-03-27,Right
602,Lavoy Allen,473604.0,Power Forward and Center,1989-02-04,Right
603,Jon Diebler,,Guard,1988-06-22,Right
604,Vernon Macklin,473604.0,Center,1986-09-20,Right
605,DeAndre Liggins,473604.0,Shooting Guard and Small Forward,1988-03-31,Right
606,E'Twaun Moore,473604.0,Shooting Guard and Point Guard,1989-02-28,Right
607,Isaiah Thomas,473604.0,Point Guard,1989-02-07,Left
608,Anthony Davis,5144280.0,Power Forward and Center,1993-03-11,Right
609,Michael Kidd-Gilchrist,4602720.0,Small Forward,1993-09-26,Right
610,Bradley Beal,4133280.0,Shooting Guard,1993-06-28,Right
611,Dion Waiters,3726600.0,Shooting Guard,1991-12-10,Right
612,Thomas Robinson,3374640.0,Power Forward,1991-03-17,Right
613,Damian Lillard,3065040.0,Point Guard,1990-07-15,Right
614,Harrison Barnes,2798040.0,Small Forward and Power Forward,1992-05-30,Right
615,Terrence Ross,2563320.0,Small Forward and Shooting Guard,1991-02-05,Right
616,Andre Drummond,2356320.0,Center,1993-08-10,Right
617,Austin Rivers,2238360.0,Shooting Guard and Point Guard,1992-08-01,Right
618,Meyers Leonard,2126520.0,Center and Power Forward,1992-02-27,Right
619,Jeremy Lamb,2020200.0,Shooting Guard and Small Forward,1992-05-30,Right
620,Kendall Marshall,1919160.0,Point Guard,1991-08-19,Left
621,John Henson,1823280.0,Center and Power Forward,1990-12-28,Right
622,Maurice Harkless,1731960.0,Small Forward,1993-05-11,Right
623,Royce White,1719480.0,Power Forward,1991-04-10,Right
624,Tyler Zeller,1563120.0,Center,1990-01-17,Right
625,Terrence Jones,1485000.0,Power Forward,1992-01-09,Left
626,Andrew Nicholson,1418160.0,Power Forward,1989-12-08,Right
627,Jared Sullinger,1306920.0,Power Forward,1992-03-04,Right
628,Fab Melo,1254720.0,Center,1990-06-20,Right
629,John Jenkins,1204560.0,Shooting Guard,1991-03-06,Right
630,Jared Cunningham,1156320.0,Shooting Guard,1991-05-22,Right
631,Tony Wroten,1110120.0,Point Guard and Shooting Guard,1993-04-13,Left
632,Miles Plumlee,1073280.0,Center,1988-09-01,Right
633,Arnett Moultrie,1042320.0,Power Forward,1990-11-18,Right
634,Perry Jones,1035960.0,Small Forward and Power Forward,1991-09-24,Right
635,Marquis Teague,1028400.0,Shooting Guard and Point Guard,1993-02-28,Right
636,Festus Ezeli,1020960.0,Center,1989-10-21,Right
637,Jeff Taylor,575000.0,Small Forward,1989-05-23,Right
638,Bernard James,473604.0,Center,1985-02-07,Left
639,Jae Crowder,600491.0,Small Forward,1990-07-06,Right
640,Draymond Green,850000.0,Power Forward and Small Forward,1990-03-04,Right
641,Orlando Johnson,550000.0,Shooting Guard,1989-03-11,Right
642,Quincy Acy,665000.0,Power Forward and Small Forward,1990-10-06,Right
643,Quincy Miller,473604.0,Power Forward,1992-11-18,Right
644,Khris Middleton,473604.0,Shooting Guard and Small Forward,1991-08-12,Right
645,Will Barton,550000.0,Shooting Guard,1991-01-06,Right
646,Tyshawn Taylor,473604.0,Point Guard,1990-04-12,Right
647,Doron Lamb,650000.0,Shooting Guard,1991-11-06,Right
648,Mike Scott,473604.0,Power Forward,1988-07-16,Right
649,Kim English,473604.0,Shooting Guard,1988-09-24,Right
650,Justin Hamilton,816482.0,Center,1990-04-01,Right
651,Darius Miller,473604.0,Small Forward,1990-03-21,Right
652,Kevin Murphy,473604.0,Shooting Guard,1990-03-06,Right
653,Kyle O'Quinn,788872.0,Power Forward and Center,1990-03-26,Right
654,Kris Joseph,189442.0,Small Forward,1988-12-17,Right
655,Darius Johnson-Odom,192228.0,Shooting Guard,1989-09-28,Left
656,Robbie Hummel,880000.0,Small Forward,1989-03-08,Right
657,Marcus Denmon,,Guard,1990-03-20,Right
658,Robert Sacre,473604.0,Center,1989-06-06,Right
659,Anthony Bennett,5324280.0,Power Forward,1993-03-14,Right
660,Victor Oladipo,4763760.0,Shooting Guard and Point Guard,1992-05-04,Right
661,Otto Porter,4278000.0,Small Forward,1993-06-03,Right
662,Cody Zeller,3857040.0,Center and Power Forward,1992-10-05,Right
663,Alex Len,3492720.0,Center,1993-06-16,Right
664,Nerlens Noel,3172320.0,Center and Power Forward,1994-04-10,
665,Ben McLemore,2895960.0,Shooting Guard,1993-02-11,Right
666,Kentavious Caldwell-Pope,2653080.0,Shooting Guard,1993-02-18,Right
667,Trey Burke,2438760.0,Point Guard,1992-11-12,Right
668,C.J. McCollum,2316720.0,Shooting Guard,1991-09-19,Right
669,Michael Carter-Williams,2200920.0,Point Guard,1991-10-10,Right
670,Steven Adams,2090880.0,Center,1993-07-20,Right
671,Kelly Olynyk,1986360.0,Center,1991-04-19,Right
672,Shabazz Muhammad,1887120.0,Small Forward and Shooting Guard,1992-11-13,Left
673,Shane Larkin,1536960.0,Point Guard,1992-10-02,Right
674,Tony Snell,1409040.0,Small Forward and Shooting Guard,1991-11-10,Right
675,Gorgui Dieng,1352640.0,Center and Power Forward,1990-01-18,Right
676,Mason Plumlee,1298640.0,Center,1990-03-05,Right
677,Solomon Hill,1246680.0,Small Forward,1991-03-18,Right
678,Tim Hardaway,1196760.0,Shooting Guard,1992-03-16,Right
679,Reggie Bullock,1149000.0,Small Forward,1991-03-16,Right
680,Andre Roberson,1110840.0,Shooting Guard and Small Forward,1991-12-04,Right
681,Archie Goodwin,1064400.0,Shooting Guard and Point Guard,1994-08-17,Right
682,Allen Crabbe,862000.0,Shooting Guard,1992-04-09,Right
683,Carrick Felix,816482.0,Shooting Guard,1990-08-17,Right
684,Isaiah Canaan,816482.0,Point Guard and Shooting Guard,1991-05-21,Right
685,"Glen Rice, Jr.",400000.0,Shooting Guard,1991-01-01,Right
686,Ray McCallum,816482.0,Point Guard,1991-06-12,Right
687,Tony Mitchell,816482.0,Power Forward,1992-04-07,Right
688,Nate Wolters,816482.0,Point Guard,1991-05-15,Right
689,Jeff Withey,816482.0,Center,1990-03-07,Right
690,Grant Jerrett,816481.0,Power Forward,1993-07-08,Right
691,Jamaal Franklin,163296.0,Shooting Guard,1991-07-21,Right
692,Pierre Jackson,400000.0,Point Guard,1991-08-29,Right
693,Ricky Ledo,816482.0,Shooting Guard,1992-09-10,Right
694,Mike Muscala,816482.0,Power Forward and Center,1991-07-01,Right
695,Erick Green,507336.0,Point Guard,1991-05-09,Right
696,Ryan Kelly,1650000.0,Power Forward,1991-04-09,Right
697,Erik Murphy,100000.0,Center,1990-10-26,Right
698,James Ennis,507336.0,Small Forward,1990-07-01,Right
699,Lorenzo Brown,283367.0,Point Guard,1990-08-26,Right
700,Colton Iverson,,Center,1989-06-29,Right
701,Arsalan Kazemi,,Forward,1990-04-22,Right
702,Peyton Siva,100000.0,Shooting Guard,1990-10-24,Right
703,Alex Oriakhi,,Forward,1990-06-21,Right
704,Deshaun Thomas,,Forward,1991-08-29,Left
705,Andrew Wiggins,5510640.0,Small Forward,1995-02-23,Right
706,Jabari Parker,4930560.0,Power Forward,1995-03-15,Right
707,Joel Embiid,4427640.0,Center,1994-03-16,Right
708,Aaron Gordon,3992040.0,Power Forward and Small Forward,1995-09-16,Right
709,Marcus Smart,3283320.0,Point Guard,1994-03-06,Right
710,Julius Randle,2997360.0,Power Forward,1994-11-29,Left
711,Nik Stauskas,2745840.0,Shooting Guard,1993-10-07,Right
712,Noah Vonleh,2524200.0,Power Forward,1995-08-24,Right
713,Elfrid Payton,2397840.0,Point Guard,1994-02-22,Right
714,Doug McDermott,2277960.0,Small Forward,1992-01-03,Right
715,Zach LaVine,2055840.0,Shooting Guard and Point Guard,1995-03-10,Right
716,T.J. Warren,1953120.0,Small Forward,1993-09-05,Right
717,Adreian Payne,1855320.0,Power Forward,1991-02-19,Right
718,James Young,1674480.0,Shooting Guard,1995-08-16,Left
719,Tyler Ennis,1590720.0,Point Guard,1994-08-24,Right
720,Gary Harris,1519200.0,Shooting Guard,1994-09-14,Right
721,Mitch McGary,1400040.0,Power Forward,1992-06-06,Left
722,Jordan Adams,1344120.0,Shooting Guard,1994-07-08,Right
723,Rodney Hood,1290360.0,Shooting Guard,1992-10-20,Left
724,Shabazz Napier,1238640.0,Point Guard,1991-07-14,Right
725,P.J. Hairston,1149720.0,Small Forward and Shooting Guard,1992-12-24,Right
726,C.J. Wilcox,1109760.0,Shooting Guard,1990-12-30,Right
727,Josh Huestis,1140240.0,Power Forward,1991-12-19,Right
728,Kyle Anderson,1093680.0,Small Forward and Shooting Guard,1993-09-20,Right
729,K.J. McDaniels,507336.0,Small Forward and Shooting Guard,1993-02-09,Right
730,Joe Harris,884879.0,Shooting Guard,1991-09-07,Right
731,Cleanthony Early,507336.0,Small Forward,1991-04-17,Right
732,Jarnell Stokes,725000.0,Power Forward and Center,1994-01-07,Right
733,Johnny O'Bryant,600000.0,Power Forward,1993-06-01,Right
734,DeAndre Daniels,,Forward,1992-04-15,Right
735,Spencer Dinwiddie,700000.0,Point Guard,1993-04-06,Right
736,Jerami Grant,884879.0,Small Forward,1994-03-12,Right
737,Glenn Robinson III,507336.0,Small Forward and Shooting Guard,1994-01-08,Right
738,Nick Johnson,507336.0,Shooting Guard,1992-12-22,Right
739,Markel Brown,507336.0,Shooting Guard,1992-01-29,Right
740,Dwight Powell,507336.0,Power Forward and Center,1991-07-20,Right
741,Jordan Clarkson,507336.0,Shooting Guard and Point Guard,1992-06-07,Right
742,Russ Smith,816482.0,Point Guard,1991-04-19,Right
743,Lamar Patterson,525093.0,Shooting Guard,1991-08-12,Right
744,Cameron Bairstow,507336.0,Power Forward and Center,1990-12-07,Right
745,Alec Brown,,Forward/Center,1992-07-23,Right
746,Semaj Christon,,Point Guard,1992-11-01,Right
747,Devyn Marble,884879.0,Shooting Guard,1992-09-21,Right
748,Jordan McRae,172972.0,Point Guard and Shooting Guard,1991-03-28,Right
749,Xavier Thames,,Guard,1991-01-19,Right
750,Cory Jefferson,507336.0,Power Forward,1990-12-26,Right
751,Karl-Anthony Towns,5703600.0,Center,1995-11-15,Right
752,D'Angelo Russell,5103120.0,Point Guard,1996-02-23,Left
753,Jahlil Okafor,4582680.0,Center,1995-12-15,Right
754,Willie Cauley-Stein,3398280.0,Center,1993-08-18,Right
755,Stanley Johnson,2841960.0,Small Forward,1996-05-29,Right
756,Frank Kaminsky,2612500.0,Center,1993-04-04,Right
757,Justise Winslow,2481720.0,Small Forward,1996-03-26,Left
758,Myles Turner,2357760.0,Center,1996-03-24,Right
759,Trey Lyles,2239800.0,Power Forward,1995-11-05,Right
760,Devin Booker,2127840.0,Shooting Guard,1996-10-30,Right
761,Cameron Payne,2021520.0,Point Guard,1994-08-08,Left
762,Kelly Oubre Jr.,1920240.0,Small Forward,1995-12-09,Left
763,Terry Rozier,1824360.0,Point Guard,1994-03-17,Right
764,Rashad Vaughn,1733040.0,Shooting Guard,1996-08-16,Right
765,Sam Dekker,1646400.0,Small Forward,1994-05-06,Right
766,Jerian Grant,1572360.0,Point Guard,1992-10-09,Right
767,Delon Wright,1509360.0,Point Guard,1992-04-26,Right
768,Justin Anderson,1449000.0,Small Forward,1993-11-19,Left
769,Bobby Portis,1391160.0,Power Forward,1995-02-10,Right
770,Rondae Hollis-Jefferson,1335480.0,Small Forward,1995-01-03,Left
771,Tyus Jones,1282080.0,Point Guard,1996-05-10,Right
772,Jarell Martin,1230840.0,Power Forward,1994-05-24,Right
773,Larry Nance Jr.,1155600.0,Power Forward,1993-01-01,Right
774,R.J. Hunter,1148640.0,Shooting Guard,1993-10-24,Right
775,Chris McCullough,1140240.0,Power Forward,1995-02-05,Right
776,Kevon Looney,1131960.0,Power Forward and Center,1996-02-06,Right
777,Montrezl Harrell,1000000.0,Power Forward,1994-01-26,Right
778,Jordan Mickey,1200000.0,Power Forward,1994-07-09,Right
779,Anthony Brown,700000.0,Small Forward,1992-10-10,Right
780,Rakeem Christmas,1000000.0,Power Forward,1991-12-01,Right
781,Richaun Holmes,1050000.0,Center and Power Forward,1993-10-15,Right
782,Darrun Hilliard,525093.0,Shooting Guard,1993-04-13,Left
783,Josh Richardson,525093.0,Shooting Guard,1993-09-15,Right
784,Pat Connaughton,525093.0,Shooting Guard,1993-01-06,Right
785,Olivier Hanlan,,Guard,1993-02-15,Right
786,Joe Young,1000000.0,Point Guard,1992-06-27,Right
787,Andrew Harrison,,Shooting Guard,1994-10-28,Right
788,Norman Powell,650000.0,Shooting Guard,1993-05-25,Right
789,Dakari Johnson,,Center,1995-09-22,Right
790,Aaron White,,Forward,1992-09-10,Right
791,Tyler Harvey,,Guard,1993-07-17,Left
792,Sir'Dominic Pointer,,Guard/Forward,1992-05-06,Right
793,Cady Lalanne,,Center,1992-04-22,Right
794,Branden Dawson,525093.0,Power Forward,1993-02-01,Right
795,J.P. Tokoto,,Guard/Forward,1993-09-15,Right
796,Ben Simmons,,Forward,1996-07-20,Left
797,Brandon Ingram,,Small Forward,1997-09-02,Right
798,Jaylen Brown,,Small Forward,1996-10-24,Right
799,Kris Dunn,,Point Guard,1994-03-18,Right
800,Buddy Hield,,Shooting Guard,1993-12-17,Right
801,Jamal Murray,,Shooting Guard,1997-02-23,Right
802,Marquese Chriss,,Power Forward,1997-07-02,Right
803,Jakob Poeltl,,Center,1995-10-15,Right
804,Domantas Sabonis,,Power Forward,1996-05-03,Left
805,Taurean Prince,,Small Forward,1994-03-22,Right
806,Denzel Valentine,,Shooting Guard,1993-11-16,Right
807,Wade Baldwin,,Point Guard,1996-03-29,Right
808,Henry Ellenson,,Power Forward,1997-01-13,Right
809,Malik Beasley,,Shooting Guard,1996-11-26,Right
810,Caris LeVert,,Small Forward,1994-08-25,Right
811,DeAndre' Bembry,,Small Forward,1994-07-04,Right
812,Malachi Richardson,,Shooting Guard,1996-01-05,Right
813,Brice Johnson,,Power Forward,1994-06-27,Right
814,Pascal Siakam,,Power Forward,1994-02-04,Right
815,Skal Labissiere,,Power Forward,1996-03-18,Right
816,Dejounte Murray,,Point Guard,1996-09-19,Right
